customer_key,name,gender,city,state,zip_code,country,continent,birthday
7700,Lucas Keenan,Male,STANWELL TOPS,New South Wales,2508,Australia,Australia,1975-01-27
7725,Anna Prerauer,Female,CURRIMUNDI,Queensland,4551,Australia,Australia,1968-01-06
7783,Charli Gullett,Female,MOUNT WALLACE,Victoria,3342,Australia,Australia,1961-08-13
8098,Alana Belt,Female,SOUTH GREENOUGH,Western Australia,6528,Australia,Australia,1967-01-26
8181,Amelie Nairn,Female,DARTMOUTH,Victoria,3701,Australia,Australia,1985-07-08
8220,David Blanch,Male,Vista,South Australia,5091,Australia,Australia,1945-07-29
8789,Layla Mackellar,Female,KALKARINDJI,Northern Territory,852,Australia,Australia,1999-07-13
8794,Abbey Lempriere,Female,BOULDER CREEK,Queensland,4714,Australia,Australia,1962-11-02
8945,Summer MacMahon,Female,WARUMBUL,New South Wales,2229,Australia,Australia,1939-06-28
9167,Luke Bushby,Male,PARACOMBE,South Australia,5132,Australia,Australia,1975-12-02
9184,Sam Zimpel,Male,CORUNNUN,Victoria,3249,Australia,Australia,1964-11-24
9360,Mitchell Adam,Male,MOPARRABAH,New South Wales,2440,Australia,Australia,1955-01-30
9370,Ruby Lock,Female,Cook,Australian Capital Territory,2614,Australia,Australia,1953-05-26
9389,Eliza Brophy,Female,YEARINAN,New South Wales,2357,Australia,Australia,1956-04-08
9456,Ryder Abdullah,Male,CLAREDALE,Queensland,4807,Australia,Australia,1941-05-21
9812,Kaitlyn Morshead,Female,MINJARY,New South Wales,2720,Australia,Australia,1953-01-23
9915,Ebony Buxton,Female,SEPPINGS,Western Australia,6330,Australia,Australia,1991-11-10
10039,Brianna Hann,Female,NIKENBAH,Queensland,4655,Australia,Australia,1947-10-22
10189,Alexis Birchell,Female,FOREST REEFS,New South Wales,2798,Australia,Australia,1962-04-07
10276,Angus Bardolph,Male,BATEAU BAY,New South Wales,2261,Australia,Australia,1972-11-01
10299,Anthony Macvitie,Male,BEELBANGERA,New South Wales,2680,Australia,Australia,1937-05-27
10332,James Burnage,Male,Palmyra,Western Australia,6157,Australia,Australia,1937-03-26
10393,Nicholas Moncrieff,Male,ROSENTHAL HEIGHTS,Queensland,4370,Australia,Australia,1981-11-29
10395,Cameron Dillon,Male,STRATHERNE,Western Australia,6309,Australia,Australia,1996-02-25
10481,Piper Maudsley,Female,CELLS RIVER,New South Wales,2324,Australia,Australia,1977-04-17
10504,Daniel Rusconi,Male,SOUTH DATATINE,Western Australia,6317,Australia,Australia,1980-10-22
10717,Harrison Ingram,Male,MAYA,Western Australia,6614,Australia,Australia,1981-06-16
11035,Makayla Meldrum,Female,KINGS FOREST,New South Wales,2487,Australia,Australia,1939-12-08
11090,Scarlett Scollen,Female,SILVERWATER,New South Wales,2128,Australia,Australia,1953-01-20
11587,Andrew Fenbury,Male,York,Western Australia,6302,Australia,Australia,1977-11-09
11736,Summer Brownrigg,Female,YARRABILBA,Queensland,4207,Australia,Australia,1991-01-22
12084,Toby Chauvel,Male,GALGA,South Australia,5308,Australia,Australia,1958-07-20
12160,Jett Creal,Male,Oakhurst,New South Wales,2761,Australia,Australia,1956-09-05
12162,Eva Lavarack,Female,WHITTINGTON,Victoria,3219,Australia,Australia,1954-07-30
12207,Aiden Jull,Male,OGMORE,Queensland,4706,Australia,Australia,1955-11-30
12256,Lilly Lynn,Female,ROTHBURY,New South Wales,2320,Australia,Australia,1991-03-07
12365,Natalie Lyon,Female,STEEPLE FLAT,New South Wales,2631,Australia,Australia,1958-04-06
12385,Lily Gribble,Female,OVERLAND CORNER,South Australia,5330,Australia,Australia,1981-06-10
12392,Laura Waterhouse,Female,GREENHILL,South Australia,5140,Australia,Australia,1957-03-08
12649,Rose Raven,Female,NOBLE PARK NORTH,Victoria,3174,Australia,Australia,1965-12-11
12729,Xavier Sturdee,Male,STANNUM,New South Wales,2371,Australia,Australia,1937-10-14
12810,Patrick Newbigin,Male,Deer Park,Victoria,3023,Australia,Australia,1957-06-24
12859,Koby Rayment,Male,NABAWA,Western Australia,6532,Australia,Australia,1942-04-29
12868,Nathan Greville,Male,MALLALA,South Australia,5502,Australia,Australia,1961-03-12
13045,Abbey Storkey,Female,BLUE MOUNTAIN HEIGHTS,Queensland,4350,Australia,Australia,1957-10-19
13071,Claudia Fuller,Female,CUBALLING,Western Australia,6311,Australia,Australia,1973-06-28
13232,Maya Coates,Female,UNLEY BC,South Australia,5061,Australia,Australia,1985-08-12
13365,Mitchell Cutlack,Male,MOONEM,New South Wales,2471,Australia,Australia,1961-01-02
13607,Gemma Maum,Female,MAMBRAY CREEK,South Australia,5495,Australia,Australia,1954-09-21
14069,Jacob Gairdner,Male,ROB ROY,New South Wales,2360,Australia,Australia,1949-05-24
14180,Ava Lockyer,Female,KALGOORLIE,Western Australia,6430,Australia,Australia,1998-05-14
14275,Dakota Dunshea,Female,BENTLEY,New South Wales,2480,Australia,Australia,1979-05-02
14906,Grace Houghton,Female,BOYER,Tasmania,7140,Australia,Australia,1982-11-16
14962,Mackenzie Newell,Female,Crestwood,New South Wales,2153,Australia,Australia,1936-04-05
14988,Emily Thirkell,Female,WYNDHAM VALE,Victoria,3024,Australia,Australia,1958-07-24
15109,Sara Marsden,Female,WHALE BEACH,New South Wales,2107,Australia,Australia,1999-08-18
15385,Harry Morgans,Male,DOONGIN,Western Australia,6409,Australia,Australia,1995-05-11
15391,Elizabeth Horsley,Female,MARRAWEENEY,Victoria,3669,Australia,Australia,1989-01-25
15569,Chelsea Weekes,Female,COLAC,Victoria,3250,Australia,Australia,1983-09-08
15718,Natalie Tennant,Female,DAKENBA,Queensland,4715,Australia,Australia,1957-02-20
16193,Isabelle Beggs,Female,ALTONA,South Australia,5351,Australia,Australia,1964-05-10
16282,Evie Kirkhope,Female,REIDS FLAT,New South Wales,2586,Australia,Australia,2000-05-11
16716,Abby Frater,Female,KAYUGA,New South Wales,2333,Australia,Australia,1987-12-16
17412,Mitchell Kwok,Male,VICTORIA PARK,Western Australia,6100,Australia,Australia,1969-08-31
17811,Alicia Hoy,Female,WATTLE GLEN,Victoria,3096,Australia,Australia,1985-10-15
18067,Rory Koerstz,Male,MOUNT MCKENZIE,South Australia,5353,Australia,Australia,1941-10-26
18263,Callum Semmens,Male,RURAL VIEW,Queensland,4740,Australia,Australia,1978-06-01
18309,Michael Vogt,Male,FYANS CREEK,Victoria,3381,Australia,Australia,1992-01-07
18470,Zac Pryor,Male,GOSFORD,New South Wales,2250,Australia,Australia,1969-03-12
18493,George Kevin,Male,TASCOTT,New South Wales,2250,Australia,Australia,1994-09-27
18714,Ashton Aitken,Male,PINWERNYING,Western Australia,6317,Australia,Australia,1972-08-13
18887,Zara Castleton,Female,BOOROLITE,Victoria,3723,Australia,Australia,1978-11-25
19082,Matthew Denman,Male,RANSOME,Queensland,4154,Australia,Australia,1939-04-06
19207,Luke Casimaty,Male,KURRACA,Victoria,3518,Australia,Australia,1991-01-19
19404,Cody O'Hea,Male,WYNNUM,Queensland,4178,Australia,Australia,1997-06-10
19534,Leah Martin,Female,TOOBORAC,Victoria,3522,Australia,Australia,1964-12-13
19579,Ava Reye,Female,BARCALDINE,Queensland,4725,Australia,Australia,1949-10-16
19726,Victoria Daly,Female,WATANOBBI,New South Wales,2259,Australia,Australia,1973-01-28
19732,Olivia Moresby,Female,WAPPILKA,South Australia,5332,Australia,Australia,1981-08-31
19753,Alyssa Solander,Female,HOWTH,Tasmania,7316,Australia,Australia,1995-10-21
19916,Hunter Samuel,Male,LITTLE PLAIN,New South Wales,2360,Australia,Australia,1991-05-13
20069,Jesse Parry-Okeden,Male,GWINDINUP,Western Australia,6237,Australia,Australia,1980-11-24
20092,Victoria Fitzsimmons,Female,CAMBRIDGE GARDENS,New South Wales,2747,Australia,Australia,1947-05-03
20237,Riley Montefiore,Male,WILLIAMSTOWN,Victoria,3016,Australia,Australia,1986-07-14
20623,Eva Rendall,Female,CARLYLE,Victoria,3685,Australia,Australia,1994-03-11
20802,Ben Whitworth,Male,POLDA,South Australia,5670,Australia,Australia,1945-07-07
20946,Taylah Walstab,Female,WINTHROP,Western Australia,6150,Australia,Australia,1999-11-04
21203,Tristan Dobie,Male,CHARTWELL,Victoria,3030,Australia,Australia,1960-02-18
21387,Christian Hughes,Male,CREMORNE,New South Wales,2090,Australia,Australia,1970-01-26
21424,Justin Tickell,Male,HEYTESBURY LOWER,Victoria,3268,Australia,Australia,1940-07-29
21460,Kayla De Beuzeville,Female,GLENLYNN,Western Australia,6256,Australia,Australia,1957-11-01
21523,Jayden Rennie,Male,SWANHAVEN,New South Wales,2540,Australia,Australia,1969-12-06
21575,Zac Chumleigh,Male,CRAIGIE,Western Australia,6025,Australia,Australia,1991-12-29
21654,Amber Monger,Female,PARLIAMENT HOUSE,South Australia,5000,Australia,Australia,1950-02-03
21819,Matilda Blacklock,Female,Cleveland,Tasmania,7211,Australia,Australia,2000-06-18
21870,Summer Gramp,Female,BELTANA,South Australia,5730,Australia,Australia,1991-11-23
22158,Will Parer,Male,CHURCH POINT,New South Wales,2105,Australia,Australia,1996-12-10
22384,Jaxon Cox,Male,PEARCE,Australian Capital Territory,2607,Australia,Australia,1951-01-24
22540,Connor Ruwolt,Male,BANDYA,Western Australia,6440,Australia,Australia,1989-06-12
22775,Flynn Campion,Male,NEEDLES,Tasmania,7304,Australia,Australia,1958-08-27
22826,Edward Putilin,Male,ASHFIELD,Queensland,4670,Australia,Australia,1976-09-25
23128,Zane Sinclaire,Male,SUMMERLANDS,Victoria,3922,Australia,Australia,2000-01-02
23203,Gemma Philipp,Female,MADORA BAY,Western Australia,6210,Australia,Australia,1998-08-11
23267,Gabrielle Zinnbauer,Female,FLINDERS VIEW,Queensland,4305,Australia,Australia,1954-04-18
23320,Samantha Weigel,Female,WITTENOOM,Western Australia,6751,Australia,Australia,1960-04-15
23431,Grace Scarf,Female,SHEEP HILLS,Victoria,3392,Australia,Australia,1970-10-27
23599,Maddison Blanc,Female,FORRESTERS BEACH,New South Wales,2260,Australia,Australia,1989-10-12
23854,Ali Wroblewski,Male,MURRAWOMBIE,New South Wales,2825,Australia,Australia,1943-01-02
24069,Edward Carron,Male,ULMARRA,New South Wales,2462,Australia,Australia,1985-05-20
24230,Zoe Dadswell,Female,DAVOREN PARK SOUTH,South Australia,5113,Australia,Australia,1979-10-26
24575,Stella O'Mahony,Female,PLACID HILLS,Queensland,4343,Australia,Australia,2000-06-07
24920,Natalie Robey,Female,CORNY POINT,South Australia,5575,Australia,Australia,1938-04-17
25308,Angelina Kates,Female,WEST WIANGAREE,New South Wales,2474,Australia,Australia,1987-03-12
25771,Mikayla Shenton,Female,BOOLCARROLL,New South Wales,2388,Australia,Australia,1959-07-26
25864,Zane Corkill,Male,SHIRLEY,Victoria,3373,Australia,Australia,1995-05-05
25935,Charlie D'Arcy,Male,BURNT YARDS,New South Wales,2792,Australia,Australia,1975-01-13
26458,George Creer,Male,Westbury,Victoria,3825,Australia,Australia,1979-04-28
26477,Caleb Willshire,Male,MORISSET,New South Wales,2264,Australia,Australia,1959-11-05
26642,Noah Moloney,Male,ELIZABETH BEACH,New South Wales,2428,Australia,Australia,1978-09-30
26728,Gemma Allan,Female,MARRICKVILLE SOUTH,New South Wales,2204,Australia,Australia,1979-01-18
26906,Xavier McPhee,Male,CLEMTON PARK,New South Wales,2206,Australia,Australia,1974-06-16
26914,Amelia England,Female,MOUNT COTTRELL,Victoria,3024,Australia,Australia,1940-10-10
26970,Rose Frater,Female,BENDIGO SOUTH,Victoria,3550,Australia,Australia,1990-11-12
27125,Ashley Hornung,Female,ARNO BAY,South Australia,5603,Australia,Australia,1976-03-16
27210,Liam Osborn,Male,MOOTAI,New South Wales,2325,Australia,Australia,1973-07-02
27356,Hamish D'Hage,Male,TURRAMURRA,New South Wales,2074,Australia,Australia,1969-10-02
27432,Mikayla Favenc,Female,CLEVE,South Australia,5640,Australia,Australia,1998-09-26
27492,Bianca Coombe,Female,YAMBUK,Victoria,3285,Australia,Australia,1987-11-04
27616,Cameron Tebbutt,Male,BANNOCKBURN,Victoria,3331,Australia,Australia,1987-05-17
27896,Zachary McLeish,Male,JACUP,Western Australia,6337,Australia,Australia,1973-10-17
27945,Charlie Stralia,Male,SOFALA,New South Wales,2795,Australia,Australia,1974-05-20
28076,Alannah Onus,Female,AVOCA,Tasmania,7213,Australia,Australia,1979-01-02
28559,Samuel Israel,Male,YILKI,South Australia,5211,Australia,Australia,1968-12-07
28690,Leo Walcott,Male,MILLCHESTER,Queensland,4820,Australia,Australia,1987-09-12
28702,Charli Lhotsky,Female,DREWVALE,Queensland,4116,Australia,Australia,1966-06-30
29041,Logan Barling,Male,LINDENOW,Victoria,3865,Australia,Australia,1937-11-14
29278,Justin Hartog,Male,PINEVALE,Queensland,4754,Australia,Australia,1990-09-04
29303,Max Cohn,Male,KIRTON POINT,South Australia,5606,Australia,Australia,1983-05-01
29320,Levi Barraclough,Male,BLACKBUTT,New South Wales,2529,Australia,Australia,1938-10-14
29475,Madison Pocock,Female,TUROSS,New South Wales,2630,Australia,Australia,1965-07-03
29555,Owen Edouard,Male,GLEN MARTIN,New South Wales,2321,Australia,Australia,1992-07-03
29593,Liam Nettleton,Male,BAKARA,South Australia,5354,Australia,Australia,1995-08-18
29647,Jessica Maynard,Female,BRENDA,New South Wales,2831,Australia,Australia,1956-05-28
29689,Alexis Phillipps,Female,BURWOOD HEIGHTS,New South Wales,2136,Australia,Australia,1966-08-28
29812,Marcus Napier,Male,ST KILDA ROAD CENTRAL,Victoria,3004,Australia,Australia,1966-11-19
29837,Rebecca Jaques,Female,MOUNT GEORGE,New South Wales,2424,Australia,Australia,1938-08-14
29973,Lauren Langton,Female,DUCKINWILLA,Queensland,4650,Australia,Australia,1937-09-24
30090,George Farrer,Male,PARK AVENUE,Queensland,4701,Australia,Australia,1960-10-07
30278,Madeleine Kiddle,Female,JACANA,Victoria,3047,Australia,Australia,1945-09-12
30428,Sienna Conrick,Female,EARLSTON,Victoria,3669,Australia,Australia,1999-12-01
31086,Kate Snowden,Female,WITTENOOM,Western Australia,6751,Australia,Australia,1985-01-30
31164,Hunter Boehm,Male,BOWES,Western Australia,6535,Australia,Australia,1948-06-15
31236,Abby Warburton,Female,THREE BRIDGES,Victoria,3797,Australia,Australia,1959-08-08
31288,Adam Banning,Male,CLAY WELLS,South Australia,5280,Australia,Australia,1988-08-28
31374,Ellie Griffin,Female,ST AGNES,South Australia,5097,Australia,Australia,1960-12-02
31721,Alyssa Isaacs,Female,GULFVIEW HEIGHTS,South Australia,5096,Australia,Australia,1961-01-19
31784,Zac Scherk,Male,WAMBAN,New South Wales,2537,Australia,Australia,1968-01-02
32037,Aaron Knopwood,Male,LAKE MOKOAN,Victoria,3673,Australia,Australia,1989-02-14
32190,Paige Lacey,Female,DELAMERE,South Australia,5204,Australia,Australia,1954-10-28
32259,Ashley Dane?,Female,SEVENHILL,South Australia,5453,Australia,Australia,1975-11-21
32294,Kai Nepean,Male,RITE ISLAND,Queensland,4807,Australia,Australia,1948-08-04
32455,Charlotte Crane,Female,MOSQUITO CREEK,Queensland,4387,Australia,Australia,1997-05-09
32488,Max Wylie,Male,STAFFORD DC,Queensland,4053,Australia,Australia,1954-03-15
32511,Jasper Glassop,Male,Woodford,New South Wales,2463,Australia,Australia,1964-02-29
32538,Eva Hazon,Female,BOOMOODEERIE,New South Wales,2469,Australia,Australia,1986-07-20
32939,Alica Sizer,Female,WONGULLA,South Australia,5238,Australia,Australia,1951-06-09
33036,Tyler Galvin,Male,BYNG,New South Wales,2798,Australia,Australia,1959-07-31
33205,Andrew Hollway,Male,CRYSTAL BROOK,Queensland,4800,Australia,Australia,1943-01-10
33444,Brodie Thirkell,Male,CLAYTON,Victoria,3168,Australia,Australia,1968-01-09
34081,Imogen Permewan,Female,FYANS CREEK,Victoria,3381,Australia,Australia,1939-05-08
34126,Victoria Tasman,Female,MENINGIE EAST,South Australia,5264,Australia,Australia,1967-09-07
34143,John Gowlland,Male,WARRANWOOD,Victoria,3134,Australia,Australia,1991-04-07
34431,Leo Badger,Male,BEACONSFIELD,Western Australia,6162,Australia,Australia,1940-02-02
34451,Harry Edwin,Male,GLADSTONE,New South Wales,2440,Australia,Australia,1972-11-01
34462,Tyson Tishler,Male,TALAROO,Queensland,4871,Australia,Australia,1938-07-09
34850,Caitlin O'Loghlin,Female,BLUE VALE,New South Wales,2380,Australia,Australia,1960-11-30
34915,Kate Byles,Female,MOUNT CRYSTAL,New South Wales,2665,Australia,Australia,1969-01-28
35257,Ella Oxenham,Female,FERNHILL,New South Wales,2519,Australia,Australia,1970-02-20
35479,Jeremy Petre,Male,COSSACK,Western Australia,6720,Australia,Australia,1978-06-08
35703,Rory Cotton,Male,LUGARNO,New South Wales,2210,Australia,Australia,1961-12-14
35733,Charlotte Shaw,Female,WAROONA,Western Australia,6215,Australia,Australia,1955-05-14
35795,Riley Clegg,Male,MOYARRA,Victoria,3951,Australia,Australia,1995-08-07
36112,Emma Gepp,Female,ANNUELLO,Victoria,3549,Australia,Australia,1937-02-12
36336,Anna Burston,Female,DJARAWONG,Queensland,4854,Australia,Australia,1990-09-21
36418,Jorja Whitlam,Female,MOUNT DAVID,New South Wales,2795,Australia,Australia,1946-02-18
36507,Joseph Paten,Male,Golden Valley,Tasmania,7304,Australia,Australia,1955-03-23
36816,Luke Lazenby,Male,LONGWARRY NORTH,Victoria,3816,Australia,Australia,1971-05-18
36918,Blake Mann,Male,OWEN,South Australia,5460,Australia,Australia,1982-11-06
37070,Alyssa Hooker,Female,WANGANUI,New South Wales,2482,Australia,Australia,1981-07-18
37251,Leo Scerri,Male,GHERANG,Victoria,3240,Australia,Australia,1951-06-17
37408,Jaxon Rebell,Male,TORRENS,Australian Capital Territory,2607,Australia,Australia,1975-10-11
37580,Mariam Baylee,Female,TOMAHAWK,Tasmania,7262,Australia,Australia,1942-01-12
37585,Lauren Fink,Female,YELTA,South Australia,5558,Australia,Australia,1944-04-17
37802,Luke Byron,Male,SOUTH DUDLEY,Victoria,3995,Australia,Australia,1990-07-09
37991,Cooper Gillison,Male,CARWELL,New South Wales,2849,Australia,Australia,1937-01-06
38006,Lachlan Postle,Male,DYRAABA,New South Wales,2470,Australia,Australia,1955-10-29
38036,Kiara Schaw,Female,UPPER YARRAMAN,Queensland,4614,Australia,Australia,1960-07-26
38183,Hunter Montagu,Male,NEW ITALY,New South Wales,2472,Australia,Australia,1944-07-30
38195,Sara Roe,Female,PAYNEDALE,Western Australia,6239,Australia,Australia,1972-11-22
38212,Stella Cain,Female,WOOROONOOK,Victoria,3525,Australia,Australia,1985-01-28
38558,Audrey Bold,Female,BOSTOBRICK,New South Wales,2453,Australia,Australia,1946-05-19
38613,Hamish Mason,Male,Tacoma,New South Wales,2259,Australia,Australia,1988-03-16
38865,Christopher Edmund,Male,WINDORAH,Queensland,4481,Australia,Australia,1948-08-17
38950,Hannah Edmond,Female,ARTHUR RIVER,Tasmania,7330,Australia,Australia,1954-12-08
39183,Julian Gutteridge,Male,KURMOND,New South Wales,2757,Australia,Australia,1973-04-25
39246,Darcy Falconer,Male,MANDALAY,Queensland,4802,Australia,Australia,1974-10-20
39268,Madeleine Marx,Female,KALLANGUR,Queensland,4503,Australia,Australia,1975-07-24
39314,Leo Ligar,Male,LIGHT PASS,South Australia,5355,Australia,Australia,1985-04-20
39498,Amy Curtain,Female,SWANBROOK,New South Wales,2360,Australia,Australia,1996-08-13
39582,Mason Therry,Male,RISDON,Tasmania,7017,Australia,Australia,1974-03-15
39592,Alicia Muntz,Female,SOUTH SPRINGFIELD,Tasmania,7260,Australia,Australia,1965-04-20
39894,Samantha Begg,Female,JUNEE,New South Wales,2663,Australia,Australia,1941-02-26
39927,Bailey Barnet,Male,SORELL,Tasmania,7172,Australia,Australia,1984-05-15
39996,Harry Dawes,Male,BENDOURA,New South Wales,2622,Australia,Australia,2001-05-09
40052,Isabel Dettmann,Female,WAVERTON,New South Wales,2060,Australia,Australia,1957-09-06
40221,Jonathan Hammond,Male,PARA HILLS WEST,South Australia,5096,Australia,Australia,2001-11-01
40327,Madeleine Laing,Female,PIALLIGO,Australian Capital Territory,2609,Australia,Australia,1940-08-23
40363,Alyssa Henslowe,Female,DOUBLE BAY,New South Wales,2028,Australia,Australia,1984-07-08
40443,Amber Normanby,Female,CARSS PARK,New South Wales,2221,Australia,Australia,1938-04-13
40649,Kai De Vis,Male,KANGIARA,New South Wales,2582,Australia,Australia,1972-11-29
40662,Oliver Michie,Male,MOUNT HICKS,Tasmania,7325,Australia,Australia,1960-12-18
40669,Cody Wheare,Male,MARTINS CREEK,New South Wales,2420,Australia,Australia,1968-09-22
40741,Leo Bussau,Male,HARLAXTON,Queensland,4350,Australia,Australia,1937-06-13
41281,Lincoln D'Albertis,Male,FITZGERALDS MOUNT,New South Wales,2799,Australia,Australia,1945-10-27
41386,Stephanie Grant,Female,SEAL BAY,South Australia,5223,Australia,Australia,1948-06-20
41570,Rory Brough,Male,East Point,Northern Territory,820,Australia,Australia,1937-08-15
41674,Jonathan Hodges,Male,NORTH LAKE GRACE,Western Australia,6353,Australia,Australia,1938-03-04
41707,Joseph Wheeler,Male,YALLAH,New South Wales,2530,Australia,Australia,1957-04-19
41892,Madeline Eales,Female,DARGAN,New South Wales,2786,Australia,Australia,1983-01-09
42134,Benjamin Ethel,Male,EAST YUNA,Western Australia,6532,Australia,Australia,1942-09-22
42177,Brock James,Male,ELLEKER,Western Australia,6330,Australia,Australia,1960-07-19
42364,Layla Silas,Female,MARLO MERRICAN,New South Wales,2446,Australia,Australia,1952-09-27
42408,Noah Hinchcliffe,Male,THE PALMS,Queensland,4570,Australia,Australia,1988-11-04
42474,Alexander Leane,Male,NUBBA,New South Wales,2587,Australia,Australia,2000-05-23
42603,Amy Sawyer,Female,CUSHNIE,Queensland,4608,Australia,Australia,2000-10-09
42840,Savannah Lansell,Female,XANTIPPE,Western Australia,6609,Australia,Australia,1936-05-23
42956,Ben Raff,Male,BARA,New South Wales,2850,Australia,Australia,1944-05-06
43784,Jeremy Iliffe,Male,SNOWTOWN,South Australia,5520,Australia,Australia,1951-03-19
43798,Rachel Welch,Female,AMAMOOR,Queensland,4570,Australia,Australia,1966-01-11
43840,Rose Vlamingh,Female,OATLANDS,Tasmania,7120,Australia,Australia,1950-01-19
44080,Rachel Baldwin,Female,Brighton,Victoria,3186,Australia,Australia,1954-01-20
